event,event_type,eventID,date,location,fight,fightID,weight_class,fight_duration,scheduled_rounds,result,fighter,fighterID,outcome,SigStr,StrAccuracy,SLPM,StrDef,takedown,takedownAcc,takedownDef,opp,oppID,oppOutcome,opp_SigStr,opp_StrAccuracy,opp_SLPM,opp_StrDef,opp_takedown,opp_takedownAcc,opp_takedownDef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 5: The Return of the Beast,UFC,0005PPV,4/7/1995,"Charlotte, North Carolina, USA",Joe Charles vs Dan Severn,0042UFC,Open Weight,1.63,1,Submission,Dan Severn,severdan01,W,2,0.5,1.226993865,0,1,1,1,Joe Charles,charljoe01,L,1,1,0.613496933,0.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 5: The Return of the Beast,UFC,0005PPV,4/7/1995,"Charlotte, North Carolina, USA",Oleg Taktarov vs Ernie Verdicia,0043UFC,Open Weight,2.38,1,Submission,Oleg Taktarov,taktaole01,W,0,0,0,0.6,0,0,1,Ernie Verdicia,verdiern01,L,2,0.4,0.840336134,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 5: The Return of the Beast,UFC,0005PPV,4/7/1995,"Charlotte, North Carolina, USA",Larry Cureton vs Todd Medina,0044UFC,Open Weight,2.92,1,Submission,Todd Medina,medintod01,W,4,1,1.369863014,0.5,1,1,1,Larry Cureton,curetlar01,L,1,0.5,0.342465753,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 5: The Return of the Beast,UFC,0005PPV,4/7/1995,"Charlotte, North Carolina, USA",Andy Anderson vs Jon Hess,0045UFC,Open Weight,1.38,1,KO/TKO,Jon Hess,hessjon01,W,17,0.607142857,12.31884058,0,0,0,1,Andy Anderson,anderand01,L,2,1,1.449275362,0.392857143,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 5: The Return of the Beast,UFC,0005PPV,4/7/1995,"Charlotte, North Carolina, USA",Dave Beneteau vs Asbel Cancio,0046UFC,Open Weight,0.35,1,KO/TKO,Dave Beneteau,benetdav01,W,12,0.666666667,34.28571429,1,1,1,1,Asbel Cancio,canciasb01,L,0,0,0,0.333333333,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 5: The Return of the Beast,UFC,0005PPV,4/7/1995,"Charlotte, North Carolina, USA",John Dowdy vs Guy Mezger,0047UFC,Open Weight,2.03,1,KO/TKO,Guy Mezger,mezgeguy01,W,12,0.705882353,5.911330049,1,0,0,1,John Dowdy,dowdyjoh01,L,0,0,0,0.294117647,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 6: Clash of the Titans,UFC,0006PPV,7/14/1995,"Casper, Wyoming, USA",David Abbott vs Oleg Taktarov,0048UFC,Open Weight,17.75,1,Submission,Oleg Taktarov,taktaole01,W,4,0.4,0.225352113,0.622222222,0,0,0.333333333,David Abbott,abbotdav01,L,17,0.377777778,0.957746479,0.6,2,0.666666667,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 6: Clash of the Titans,UFC,0006PPV,7/14/1995,"Casper, Wyoming, USA",Dan Severn vs Ken Shamrock,0049UFC,Open Weight,2.23,1,Submission,Ken Shamrock,shamrken01,W,2,0.4,0.896860987,0,0,0,1,Dan Severn,severdan01,L,2,1,0.896860987,0.6,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 6: Clash of the Titans,UFC,0006PPV,7/14/1995,"Casper, Wyoming, USA",Anthony Macias vs Oleg Taktarov,0050UFC,Open Weight,0.15,1,Submission,Oleg Taktarov,taktaole01,W,0,0,0,1,0,0,1,Anthony Macias,maciaant01,L,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 6: Clash of the Titans,UFC,0006PPV,7/14/1995,"Casper, Wyoming, USA",David Abbott vs Paul Varelans,0051UFC,Open Weight,1.88,1,KO/TKO,David Abbott,abbotdav01,W,14,0.666666667,7.446808511,0.5,1,1,1,Paul Varelans,varelpau01,L,1,0.5,0.531914894,0.333333333,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 6: Clash of the Titans,UFC,0006PPV,7/14/1995,"Casper, Wyoming, USA",Dave Beneteau vs Oleg Taktarov,0052UFC,Open Weight,0.95,1,Submission,Oleg Taktarov,taktaole01,W,0,0,0,0.642857143,0,0,0,Dave Beneteau,benetdav01,L,5,0.357142857,5.263157895,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 6: Clash of the Titans,UFC,0006PPV,7/14/1995,"Casper, Wyoming, USA",Rudyard Moncayo vs Patrick Smith,0053UFC,Open Weight,1.13,1,Submission,Patrick Smith,smithpat01,W,6,0.75,5.309734513,1,2,1,1,Rudyard Moncayo,moncarud01,L,0,0,0,0.25,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 6: Clash of the Titans,UFC,0006PPV,7/14/1995,"Casper, Wyoming, USA",Paul Varelans vs Cal Worsham,0054UFC,Open Weight,1.03,1,KO/TKO,Paul Varelans,varelpau01,W,8,0.363636364,7.766990291,0.727272727,0,0,1,Cal Worsham,worshcal01,L,9,0.272727273,8.737864078,0.636363636,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 6: Clash of the Titans,UFC,0006PPV,7/14/1995,"Casper, Wyoming, USA",David Abbott vs John Matua,0055UFC,Open Weight,0.33,1,KO/TKO,David Abbott,abbotdav01,W,7,0.583333333,21.21212121,1,0,0,1,John Matua,matuajoh01,L,0,0,0,0.416666667,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 7: The Brawl in Buffalo,UFC,0007PPV,9/8/1995,"Buffalo, New York, USA",Ken Shamrock vs Oleg Taktarov,0057UFC,Open Weight,8,1,Other,Oleg Taktarov,taktaole01,D,4,0.181818182,0.5,0.5,0,0,0,Ken Shamrock,shamrken01,D,29,0.5,3.625,0.818181818,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 7: The Brawl in Buffalo,UFC,0007PPV,9/8/1995,"Buffalo, New York, USA",Marco Ruas vs Paul Varelans,0056UFC,Open Weight,13.28,1,KO/TKO,Marco Ruas,ruasmarc01,W,33,0.559322034,2.484939759,0.666666667,0,0,1,Paul Varelans,varelpau01,L,10,0.333333333,0.753012048,0.440677966,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 7: The Brawl in Buffalo,UFC,0007PPV,9/8/1995,"Buffalo, New York, USA",Remco Pardoel vs Marco Ruas,0058UFC,Open Weight,12.45,1,Submission,Marco Ruas,ruasmarc01,W,4,0.571428571,0.321285141,0.5,0,0,0,Remco Pardoel,pardorem01,L,2,0.5,0.16064257,0.428571429,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 7: The Brawl in Buffalo,UFC,0007PPV,9/8/1995,"Buffalo, New York, USA",Mark Hall vs Paul Varelans,0059UFC,Open Weight,1.02,1,Submission,Paul Varelans,varelpau01,W,2,0.666666667,1.960784314,0.333333333,1,1,1,Mark Hall,hallmark01,L,2,0.666666667,1.960784314,0.333333333,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 7: The Brawl in Buffalo,UFC,0007PPV,9/8/1995,"Buffalo, New York, USA",Larry Cureton vs Marco Ruas,0060UFC,Open Weight,3.38,1,Submission,Marco Ruas,ruasmarc01,W,1,1,0.295857988,0.142857143,1,1,1,Larry Cureton,curetlar01,L,6,0.857142857,1.775147929,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 7: The Brawl in Buffalo,UFC,0007PPV,9/8/1995,"Buffalo, New York, USA",Remco Pardoel vs Ryan Parker,0061UFC,Open Weight,3.08,1,Submission,Remco Pardoel,pardorem01,W,0,0,0,1,1,1,1,Ryan Parker,parkerya01,L,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
